"","Seu vínculo atual com a USP é como","Gênero","Cor (IBGE)"
"1","Servidor(a) técnico(a)/ administrativo(a)","Masculino","Parda"
"2","Estudante","Masculino","Parda"
"3","Estudante","Feminino","Branca"
"4","Estudante","Feminino","Branca"
"5","Docente","Feminino","Branca"
"6","Docente","Feminino","Branca"
"7","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"8","Docente","Masculino","Parda"
"9","Docente","Masculino","Branca"
"10","Servidor(a) técnico(a)/ administrativo(a)","Masculino","Branca"
"11","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"12","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Parda"
"13","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Amarela"
"14","Servidor(a) técnico(a)/ administrativo(a)","Masculino","Amarela"
"15","Docente","Masculino","Branca"
"16","Servidor(a) técnico(a)/ administrativo(a)","Masculino","Branca"
"17","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"18","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"19","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"20","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Amarela"
"21","Docente","Masculino","Branca"
"22","Docente","Feminino","Branca"
"23","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"24","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Parda"
"25","Servidor(a) técnico(a)/ administrativo(a)","Masculino","Parda"
"26","Docente","Masculino","Branca"
"27","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"28","Docente","Masculino","Amarela"
"29","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"30","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"31","Servidor(a) técnico(a)/ administrativo(a)","Masculino","Parda"
"32","Docente","Masculino","Branca"
"33","Docente","Feminino","Branca"
"34","Docente","Feminino","Branca"
"35","Servidor(a) técnico(a)/ administrativo(a)","Masculino","Branca"
"36","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"37","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"38","Docente","Feminino","Branca"
"39","Docente","Feminino","Branca"
"40","Servidor(a) técnico(a)/ administrativo(a)","Masculino","Parda"
"41","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"42","Docente","Masculino","Branca"
"43","Docente","Masculino","Parda"
"44","Docente","Feminino","Branca"
"45","Docente","Feminino","Branca"
"46","Docente","Masculino","Branca"
"47","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Preta"
"48","Estudante","Masculino","Branca"
"49","Docente","Feminino","Branca"
"50","Docente","Feminino","Branca"
"51","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"52","Servidor(a) técnico(a)/ administrativo(a)","Masculino","Preta"
"53","Docente","Feminino","Branca"
"54","Servidor(a) técnico(a)/ administrativo(a)","Masculino","Parda"
"55","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"56","Servidor(a) técnico(a)/ administrativo(a)","Masculino","Branca"
"57","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"58","Servidor(a) técnico(a)/ administrativo(a)","Masculino","Branca"
"59","Estudante","Feminino","Branca"
"60","Docente","Masculino","Branca"
"61","Servidor(a) técnico(a)/ administrativo(a)","Masculino","Parda"
"62","Docente","Feminino","Branca"
"63","Servidor(a) técnico(a)/ administrativo(a)","Masculino","Branca"
"64","Docente","Feminino","Amarela"
"65","Docente","Feminino","Branca"
"66","Estudante","Feminino","Branca"
"67","Docente","Feminino","Branca"
"68","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"69","Docente","Masculino","Branca"
"70","Docente","Feminino","Branca"
"71","Docente","Masculino","Branca"
"72","Servidor(a) técnico(a)/ administrativo(a)","Masculino","Branca"
"73","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"74","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"75","Estudante","Feminino","Branca"
"76","Estudante","Feminino","Branca"
"77","Estudante","Feminino","Amarela"
"78","Docente","Feminino","Branca"
"79","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"80","Docente","Feminino","Branca"
"81","Servidor(a) técnico(a)/ administrativo(a)","Masculino","Branca"
"82","Docente","Masculino","Branca"
"83","Estudante","Masculino","Branca"
"84","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"85","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"86","Docente","Masculino","Branca"
"87","Docente","Feminino","Branca"
"88","Estudante","Feminino","Preta"
"89","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"90","Docente","Feminino","Branca"
"91","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"92","Estudante","Masculino","Parda"
"93","Estudante","Feminino","Branca"
"94","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"95","Docente","Feminino","Branca"
"96","Docente","Feminino","Branca"
"97","Estudante","Feminino","Branca"
"98","Estudante","Masculino","Branca"
"99","Servidor(a) técnico(a)/ administrativo(a)","Masculino","Branca"
"100","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Parda"
"101","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Preta"
"102","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Amarela"
"103","Estudante","Feminino","Parda"
"104","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Parda"
"105","Docente","Feminino","Branca"
"106","Estudante","Feminino","Branca"
"107","Servidor(a) técnico(a)/ administrativo(a)","Masculino","Branca"
"108","Estudante","Masculino","Branca"
"109","Estudante","Feminino","Parda"
"110","Estudante","Feminino","Parda"
"111","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Parda"
"112","Estudante","Feminino","Branca"
"113","Docente","Masculino","Branca"
"114","Servidor(a) técnico(a)/ administrativo(a)","Masculino","Amarela"
"115","Estudante","Masculino","Branca"
"116","Estudante","Feminino","Preta"
"117","Estudante","Feminino","Branca"
"118","Estudante","Feminino","Branca"
"119","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"120","Estudante","Masculino","Branca"
"121","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"122","Docente","Masculino","Branca"
"123","Estudante","Feminino","Preta"
"124","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"125","Estudante","Feminino","Parda"
"126","Estudante","Masculino","Branca"
"127","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"128","Servidor(a) técnico(a)/ administrativo(a)","Masculino","Branca"
"129","Docente","Feminino","Branca"
"130","Estudante","Feminino","Amarela"
"131","Estudante","Masculino","Parda"
"132","Docente","Feminino","Branca"
"133","Docente","Feminino","Branca"
"134","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"135","Docente","Masculino","Branca"
"136","Estudante","Feminino","Branca"
"137","Estudante","Feminino","Parda"
"138","Docente","Masculino","Branca"
"139","Docente","Feminino","Branca"
"140","Estudante","Feminino","Branca"
"141","Estudante","Feminino","Branca"
"142","Docente","Masculino","Branca"
"143","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"144","Estudante","Feminino","Branca"
"145","Estudante","Masculino","Branca"
"146","Docente","Masculino","Branca"
"147","Docente","Feminino","Branca"
"148","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"149","Docente","Feminino","Branca"
"150","Docente","Masculino","Branca"
"151","Servidor(a) técnico(a)/ administrativo(a)","Masculino","Parda"
"152","Docente","Masculino","Branca"
"153","Estudante","Masculino","Branca"
"154","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"155","Estudante","Feminino","Branca"
"156","Docente","Masculino","Branca"
"157","Docente","Feminino","Branca"
"158","Estudante","Masculino","Branca"
"159","Estudante","Masculino","Branca"
"160","Estudante","Feminino","Branca"
"161","Docente","Feminino","Branca"
"162","Estudante","Feminino","Branca"
"163","Servidor(a) técnico(a)/ administrativo(a)","Masculino","Branca"
"164","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"165","Estudante","Masculino","Branca"
"166","Estudante","Masculino","Branca"
"167","Docente","Masculino","Branca"
"168","Docente","Masculino","Parda"
"169","Estudante","Masculino","Branca"
"170","Docente","Masculino","Branca"
"171","Estudante","Feminino","Branca"
"172","Servidor(a) técnico(a)/ administrativo(a)","Masculino","Branca"
"173","Estudante","Masculino","Branca"
"174","Estudante","Masculino","Branca"
"175","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"176","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"177","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Parda"
"178","Estudante","Masculino","Amarela"
"179","Docente","Feminino","Branca"
"180","Estudante","Feminino","Parda"
"181","Docente","Masculino","Branca"
"182","Estudante","Feminino","Branca"
"183","Docente","Feminino","Branca"
"184","Estudante","Feminino","Branca"
"185","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"186","Estudante","Masculino","Branca"
"187","Docente","Feminino","Branca"
"188","Docente","Feminino","Branca"
"189","Estudante","Feminino","Parda"
"190","Docente","Masculino","Parda"
"191","Estudante","Feminino","Parda"
"192","Docente","Feminino","Branca"
"193","Docente","Feminino","Branca"
"194","Estudante","Feminino","Preta"
"195","Estudante","Masculino","Branca"
"196","Servidor(a) técnico(a)/ administrativo(a)","Masculino","Branca"
"197","Estudante","Masculino","Branca"
"198","Estudante","Masculino","Branca"
"199","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Parda"
"200","Docente","Masculino","Branca"
"201","Estudante","Feminino","Branca"
"202","Docente","Feminino","Branca"
"203","Docente","Feminino","Preta"
"204","Estudante","Feminino","Branca"
"205","Estudante","Feminino","Branca"
"206","Estudante","Masculino","Branca"
"207","Docente","Masculino","Branca"
"208","Docente","Masculino","Branca"
"209","Estudante","Feminino","Parda"
"210","Docente","Masculino","Parda"
"211","Docente","Feminino","Parda"
"212","Estudante","Feminino","Branca"
"213","Estudante","Feminino","Branca"
"214","Estudante","Feminino","Parda"
"215","Estudante","Masculino","Preta"
"216","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"217","Estudante","Masculino","Parda"
"218","Estudante","Feminino","Branca"
"219","Docente","Masculino","Amarela"
"220","Estudante","Feminino","Parda"
"221","Estudante","Feminino","Branca"
"222","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"223","Docente","Feminino","Branca"
"224","Estudante","Feminino","Branca"
"225","Docente","Feminino","Branca"
"226","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Parda"
"227","Docente","Feminino","Branca"
"228","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Parda"
"229","Docente","Feminino","Branca"
"230","Estudante","Feminino","Branca"
"231","Docente","Masculino","Branca"
"232","Servidor(a) técnico(a)/ administrativo(a)","Masculino","Parda"
"233","Estudante","Masculino","Parda"
"234","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"235","Estudante","Feminino","Branca"
"236","Estudante","Feminino","Branca"
"237","Estudante","Masculino","Branca"
"238","Estudante","Feminino","Branca"
"239","Docente","Feminino","Amarela"
"240","Docente","Feminino","Branca"
"241","Estudante","Feminino","Branca"
"242","Estudante","Masculino","Branca"
"243","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Preta"
"244","Estudante","Masculino","Branca"
